Period,LoadLevel,ShutDown BTC,ShutDown Boiler
2030,0,0.0,0.0
2030,1,0.0,0.0
2030,2,0.0,0.0
2030,3,0.0,0.0
2030,4,0.0,0.0
2030,5,0.0,0.0
2030,6,0.0,0.0
2030,7,0.0,0.0
2030,8,0.0,0.0
2030,9,0.0,0.0
2030,10,0.0,0.0
2030,11,0.0,0.0
2030,12,0.0,0.0
2030,13,0.0,0.0
2030,14,0.0,0.0
2030,15,0.0,0.0
2030,16,0.0,0.0
2030,17,0.0,0.0
2030,18,0.0,0.0
2030,19,0.0,0.0
2030,20,0.0,0.0
2030,21,0.0,0.0
2030,22,0.0,0.0
2030,23,0.0,0.0
2030,24,0.0,0.0
2030,25,0.0,0.0
2030,26,0.0,0.0
2030,27,0.0,0.0
2030,28,0.0,0.0
2030,29,0.0,0.0
2030,30,0.0,0.0
2030,31,0.0,0.0
2030,32,0.0,0.0
2030,33,0.0,0.0
2030,34,0.0,0.0
2030,35,0.0,0.0
2030,36,0.0,0.0
2030,37,0.0,0.0
2030,38,0.0,0.0
2030,39,0.0,0.0
2030,40,0.0,0.0
2030,41,0.0,0.0
2030,42,0.0,0.0
2030,43,0.0,0.0
2030,44,0.0,0.0
2030,45,0.0,0.0
2030,46,0.0,0.0
2030,47,0.0,0.0
2030,48,0.0,0.0
