,,Up,Down
2021,0,,
2021,1,,
2021,2,,
2021,3,,
2021,4,,
2021,5,,
2021,6,,
2021,7,,
2021,8,,
2021,9,,
2021,10,,
2021,11,,
2021,12,,
2021,13,,
2021,14,,
2021,15,,
2021,16,,
2021,17,,
2021,18,,
2021,19,,
2021,20,,
2021,21,,
2021,22,,
2021,23,,
2021,24,,
2021,25,,
2021,26,,
2021,27,,
2021,28,,
2021,29,,
2021,30,,
2021,31,,
2021,32,,
2021,33,,
2021,34,,
2021,35,,
2021,36,,
2021,37,,
2021,38,,
2021,39,,
2021,40,,
2021,41,,
2021,42,,
2021,43,,
2021,44,,
2021,45,,
2021,46,,
2021,47,,
2021,48,,
2021,49,,
2021,50,,
2021,51,,
2021,52,,
2021,53,,
2021,54,,
2021,55,,
2021,56,,
2021,57,,
2021,58,,
2021,59,,
2021,60,,
2021,61,,
2021,62,,
2021,63,,
2021,64,,
2021,65,,
2021,66,,
2021,67,,
2021,68,,
2021,69,,
2021,70,,
2021,71,,
2021,72,,
2021,73,,
2021,74,,
2021,75,,
2021,76,,
2021,77,,
2021,78,,
2021,79,,
2021,80,,
2021,81,,
2021,82,,
2021,83,,
2021,84,,
2021,85,,
2021,86,,
2021,87,,
2021,88,,
2021,89,,
2021,90,,
2021,91,,
2021,92,,
2021,93,,
2021,94,,
2021,95,,
2021,96,,
2021,97,,
2021,98,,
2021,99,,
2021,100,,
2021,101,,
2021,102,,
2021,103,,
2021,104,,
2021,105,,
2021,106,,
2021,107,,
2021,108,,
2021,109,,
2021,110,,
2021,111,,
2021,112,,
2021,113,,
2021,114,,
2021,115,,
2021,116,,
2021,117,,
2021,118,,
2021,119,,
2021,120,,
2021,121,,
2021,122,,
2021,123,,
2021,124,,
2021,125,,
2021,126,,
2021,127,,
2021,128,,
2021,129,,
2021,130,,
2021,131,,
2021,132,,
2021,133,,
2021,134,,
2021,135,,
2021,136,,
2021,137,,
2021,138,,
2021,139,,
2021,140,,
2021,141,,
2021,142,,
2021,143,,
2021,144,,
2021,145,,
2021,146,,
2021,147,,
2021,148,,
2021,149,,
2021,150,,
2021,151,,
2021,152,,
2021,153,,
2021,154,,
2021,155,,
2021,156,,
2021,157,,
2021,158,,
2021,159,,
2021,160,,
2021,161,,
2021,162,,
2021,163,,
2021,164,,
2021,165,,
2021,166,,
2021,167,,
2021,168,,
2021,169,,
2021,170,,
2021,171,,
2021,172,,
2021,173,,
2021,174,,
2021,175,,
2021,176,,
2021,177,,
2021,178,,
2021,179,,
2021,180,,
2021,181,,
2021,182,,
2021,183,,
2021,184,,
2021,185,,
2021,186,,
2021,187,,
2021,188,,
2021,189,,
2021,190,,
2021,191,,
2021,192,,
2021,193,,
2021,194,,
2021,195,,
2021,196,,
2021,197,,
2021,198,,
2021,199,,
2021,200,,
2021,201,,
2021,202,,
2021,203,,
2021,204,,
2021,205,,
2021,206,,
2021,207,,
2021,208,,
2021,209,,
2021,210,,
2021,211,,
2021,212,,
2021,213,,
2021,214,,
2021,215,,
2021,216,,
2021,217,,
2021,218,,
2021,219,,
2021,220,,
2021,221,,
2021,222,,
2021,223,,
2021,224,,
2021,225,,
2021,226,,
2021,227,,
2021,228,,
2021,229,,
2021,230,,
2021,231,,
2021,232,,
2021,233,,
2021,234,,
2021,235,,
2021,236,,
2021,237,,
2021,238,,
2021,239,,
2021,240,,
2021,241,,
2021,242,,
2021,243,,
2021,244,,
2021,245,,
2021,246,,
